全国，都道府県，市区町村,自治体コード,人口総数,うち外国人数,外国人比率（%）,2010年外国人比率（％）
大仙市,5212,77657.0,226.0,0.2910233462533963,0.2253655111493641
北秋田市,5213,30198.0,142.0,0.470229816544142,0.4314727787396598
にかほ市,5214,23435.0,83.0,0.3541711115852357,0.2831832704037177
仙北市,5215,24610.0,89.0,0.361641609101991,0.3314393939393939
小坂町,5303,4780.0,33.0,0.690376569037657,0.1816980508754542
上小阿仁村,5327,2063.0,21.0,1.0179350460494423,0.77007700770077
藤里町,5346,2896.0,26.0,0.8977900552486188,0.8575883575883576
三種町,5348,15254.0,46.0,0.3015602464927232,0.2966730239457512
八峰町,5349,6577.0,48.0,0.729816025543561,0.5352798053527981
五城目町,5361,8538.0,18.0,0.2108222066057624,0.1521491061240015
八郎潟町,5363,5583.0,26.0,0.4656994447429697,0.3321757511701645
井川町,5366,4566.0,6.0,0.1314060446780552,0.0728199526670307
大潟村,5368,3011.0,19.0,0.631019594818997,0.0932256059664387
美郷町,5434,18613.0,49.0,0.2632568634825122,0.3321952569899419
羽後町,5463,13825.0,102.0,0.7377938517179023,0.5776560266793711
東成瀬村,5464,2704.0,66.0,2.440828402366864,0.3481894150417827
山形県,6000,1068027.0,7149.0,0.6693651003204976,0.5268092707481411
山形市,6201,247590.0,1156.0,0.4669009249161921,0.443668287157219
米沢市,6202,81252.0,737.0,0.9070545955791858,0.6845561011621794
鶴岡市,6203,122347.0,635.0,0.5190155868145521,0.5086991209386413
酒田市,6204,100273.0,503.0,0.5016305486023157,0.391359501938804
新庄市,6205,34432.0,361.0,1.048443308550186,0.8597168597168596
寒河江市,6206,40189.0,345.0,0.858443852795541,0.6560781629811436
上山市,6207,29110.0,147.0,0.5049811061490896,0.4048941955313866
村山市,6208,22516.0,180.0,0.7994315153668502,0.6974749170116743
長井市,6209,26543.0,340.0,1.2809403609237842,0.675194245580701
天童市,6210,62140.0,531.0,0.8545220469906664,0.4805992220400553
東根市,6211,47682.0,322.0,0.6753072438236651,0.396432111000991
尾花沢市,6212,14971.0,80.0,0.5343664417874557,0.5170139804800844
南陽市,6213,30420.0,269.0,0.8842866535174227,0.5437043199239407
山辺町,6301,13725.0,47.0,0.3424408014571949,0.2576127881630226
中山町,6302,10746.0,57.0,0.530429927414852,0.3578859758635039
河北町,6321,17641.0,181.0,1.026018933167054,0.6964276767373114
西川町,6322,4956.0,42.0,0.847457627118644,0.7017543859649122
朝日町,6323,6366.0,52.0,0.8168394596292806,0.7764765784114053
大江町,6324,7646.0,87.0,1.1378498561339263,0.6502655250894115
大石田町,6341,6577.0,78.0,1.1859510415082863,0.857843137254902
金山町,6361,5071.0,57.0,1.124038651153619,0.8012568735271014
