全国，都道府県，市区町村,Unnamed: 0,自治体コード,人口総数,うち外国人数,外国人比率（%）
七ヶ宿町,287,4302,1262.0,27.0,2.13946117274168
大河原町,288,4321,23571.0,125.0,0.5303126723516185
村田町,289,4322,10666.0,54.0,0.5062816426026626
柴田町,290,4323,38271.0,140.0,0.3658122338062763
川崎町,291,4324,8345.0,127.0,1.5218693828639904
丸森町,292,4341,12262.0,133.0,1.0846517696949929
亘理町,293,4361,33087.0,155.0,0.4684619336899688
山元町,294,4362,12046.0,58.0,0.4814876307487963
松島町,295,4401,13323.0,63.0,0.4728664715154244
七ヶ浜町,296,4404,18132.0,98.0,0.5404809177145378
利府町,297,4406,35182.0,120.0,0.3410835086123586
大和町,298,4421,28786.0,374.0,1.2992426874174945
大郷町,299,4422,7813.0,79.0,1.0111352873416102
大衡村,300,4424,5849.0,58.0,0.9916224995725764
色麻町,301,4444,6698.0,34.0,0.5076142131979695
加美町,302,4445,21943.0,162.0,0.7382764435127375
涌谷町,303,4501,15388.0,57.0,0.3704185079282558
美里町,304,4505,23994.0,64.0,0.2667333500041677
女川町,305,4581,6430.0,212.0,3.297045101088647
南三陸町,306,4606,12225.0,164.0,1.3415132924335378
秋田県,307,5000,959502.0,3651.0,0.3805098895051808
秋田市,308,5201,307672.0,1187.0,0.3858004628305468
能代市,309,5202,49968.0,208.0,0.4162664105027218
横手市,310,5203,85555.0,373.0,0.4359768569925778
大館市,311,5204,69237.0,295.0,0.4260727645623005
男鹿市,312,5206,25154.0,44.0,0.1749224775383636
湯沢市,313,5207,42091.0,114.0,0.2708417476420137
鹿角市,314,5209,29088.0,89.0,0.3059680968096809
由利本荘市,315,5210,74707.0,256.0,0.3426720387647744
潟上市,316,5211,31720.0,85.0,0.2679697351828499
大仙市,317,5212,77657.0,226.0,0.2910233462533963
北秋田市,318,5213,30198.0,142.0,0.470229816544142
にかほ市,319,5214,23435.0,83.0,0.3541711115852357
仙北市,320,5215,24610.0,89.0,0.361641609101991
小坂町,321,5303,4780.0,33.0,0.690376569037657
上小阿仁村,322,5327,2063.0,21.0,1.0179350460494423
藤里町,323,5346,2896.0,26.0,0.8977900552486188
三種町,324,5348,15254.0,46.0,0.3015602464927232
八峰町,325,5349,6577.0,48.0,0.729816025543561
五城目町,326,5361,8538.0,18.0,0.2108222066057624
八郎潟町,327,5363,5583.0,26.0,0.4656994447429697
井川町,328,5366,4566.0,6.0,0.1314060446780552
大潟村,329,5368,3011.0,19.0,0.631019594818997
美郷町,330,5434,18613.0,49.0,0.2632568634825122
羽後町,331,5463,13825.0,102.0,0.7377938517179023
東成瀬村,332,5464,2704.0,66.0,2.440828402366864
山形県,333,6000,1068027.0,7149.0,0.6693651003204976
山形市,334,6201,247590.0,1156.0,0.4669009249161921
米沢市,335,6202,81252.0,737.0,0.9070545955791858
鶴岡市,336,6203,122347.0,635.0,0.5190155868145521
酒田市,337,6204,100273.0,503.0,0.5016305486023157
新庄市,338,6205,34432.0,361.0,1.048443308550186
寒河江市,339,6206,40189.0,345.0,0.858443852795541
上山市,340,6207,29110.0,147.0,0.5049811061490896
村山市,341,6208,22516.0,180.0,0.7994315153668502
長井市,342,6209,26543.0,340.0,1.2809403609237842
天童市,343,6210,62140.0,531.0,0.8545220469906664
東根市,344,6211,47682.0,322.0,0.6753072438236651
尾花沢市,345,6212,14971.0,80.0,0.5343664417874557
南陽市,346,6213,30420.0,269.0,0.8842866535174227
山辺町,347,6301,13725.0,47.0,0.3424408014571949
中山町,348,6302,10746.0,57.0,0.530429927414852
河北町,349,6321,17641.0,181.0,1.026018933167054
西川町,350,6322,4956.0,42.0,0.847457627118644
朝日町,351,6323,6366.0,52.0,0.8168394596292806
大江町,352,6324,7646.0,87.0,1.1378498561339263
大石田町,353,6341,6577.0,78.0,1.1859510415082863
金山町,354,6361,5071.0,57.0,1.124038651153619
最上町,355,6362,8080.0,82.0,1.0148514851485149
舟形町,356,6363,5007.0,33.0,0.659077291791492
真室川町,357,6364,7203.0,35.0,0.4859086491739553
大蔵村,358,6365,3028.0,16.0,0.5284015852047557
鮭川村,359,6366,3902.0,26.0,0.6663249615581752
戸沢村,360,6367,4199.0,60.0,1.428911645629912
高畠町,361,6381,22463.0,196.0,0.8725459644749143
川西町,362,6382,14558.0,68.0,0.4670971287264734
小国町,363,6401,7107.0,56.0,0.7879555367947094
白鷹町,364,6402,12890.0,121.0,0.9387121799844842
飯豊町,365,6403,6613.0,48.0,0.7258430364433691
三川町,366,6426,7601.0,30.0,0.3946849098802789
庄内町,367,6428,20151.0,106.0,0.5260284849387127
遊佐町,368,6461,13032.0,65.0,0.4987722529158993
福島県,369,7000,1833152.0,12868.0,0.7019603393499284
福島市,370,7201,282693.0,1772.0,0.6268283968828375
会津若松市,371,7202,117376.0,738.0,0.6287486368593238
郡山市,372,7203,327692.0,2561.0,0.7815265554239957
いわき市,373,7204,332931.0,2439.0,0.7325842291646016
白河市,374,7205,59491.0,574.0,0.9648518263266712
須賀川市,375,7207,74992.0,375.0,0.5000533390228291
喜多方市,376,7208,44760.0,216.0,0.482573726541555
相馬市,377,7209,34865.0,178.0,0.5105406568191596
二本松市,378,7210,53557.0,344.0,0.642306327837631
田村市,379,7211,35169.0,311.0,0.8843015155392533
南相馬市,380,7212,59005.0,403.0,0.6829929666977375
伊達市,381,7213,58240.0,401.0,0.6885302197802198
本宮市,382,7214,30236.0,186.0,0.6151607355470301
桑折町,383,7301,11459.0,35.0,0.3054367745876604
国見町,384,7303,8639.0,59.0,0.682949415441602
川俣町,385,7308,12170.0,105.0,0.8627773212818405
大玉村,386,7322,8900.0,47.0,0.5280898876404494
鏡石町,387,7342,12318.0,50.0,0.4059100503328463
天栄村,388,7344,5194.0,56.0,1.078167115902965
下郷町,389,7362,5264.0,15.0,0.2849544072948328
檜枝岐村,390,7364,504.0,,
只見町,391,7367,4044.0,30.0,0.741839762611276
南会津町,392,7368,14451.0,68.0,0.4705556708878278
北塩原村,393,7402,2556.0,35.0,1.3693270735524257
西会津町,394,7405,5770.0,38.0,0.658578856152513
磐梯町,395,7407,3322.0,9.0,0.2709211318482841
猪苗代町,396,7408,13552.0,64.0,0.4722550177095631
会津坂下町,397,7421,15068.0,127.0,0.8428457658614281
湯川村,398,7422,3081.0,8.0,0.2596559558584875
柳津町,399,7423,3081.0,7.0,0.2271989613761765
三島町,400,7444,1452.0,8.0,0.5509641873278237
金山町,401,7445,1862.0,11.0,0.5907626208378088
昭和村,402,7446,1246.0,4.0,0.3210272873194221
会津美里町,403,7447,19014.0,38.0,0.1998527400862522
西郷村,404,7461,20808.0,243.0,1.1678200692041525
泉崎村,405,7464,6213.0,118.0,1.8992435216481571
中島村,406,7465,4885.0,35.0,0.7164790174002047
矢吹町,407,7466,17287.0,163.0,0.9429050731763752
棚倉町,408,7481,13343.0,71.0,0.5321142171925354
